,X1,X2
1,0.111479414,0.050210354
3,0.179639374,0.104181998
4,-0.05074565,-0.041790975
5,0.055318272,-0.065592263
6,0.021437422,-0.071016247
7,0.012411404,-0.018407238
8,0.048135843,-0.117247829
9,-0.083707824,-0.02275042
10,0.096590236,-0.069229302
11,0.007039124,-0.10218932
13,0.152479784,0.050013423
14,0.044103473,-0.075795405
15,-0.033277798,-0.00920495
16,-0.05065593,0.005731808
17,0.083809139,-0.049150758
18,-0.04571078,-0.053438083
19,-0.052863761,-0.049057077
20,0.007068947,-0.050819764
21,0.165840191,0.024539972
22,0.343174733,0.239512861
24,0.125782415,-0.01928625
26,-0.04845695,-0.000700861
27,0.176160194,0.103398407
28,0.005887032,-0.012883081
30,0.083553988,-0.050516266
31,0.11876665,-0.086391014
32,0.027203874,-0.024504775
33,-0.095693242,-0.032576874
34,-0.183866651,0.225640492
35,-0.075485303,-0.014627458
37,0.062089425,-0.04850844
38,-0.051427574,0.02949319
40,-0.037111223,-0.017190317
41,-0.062385553,0.05944341
42,-0.00095424,-0.047661936
43,0.007624165,-0.017582105
44,-0.023601177,-0.084182465
45,0.007072884,-0.015099133
46,-0.106936331,0.148477056
48,0.066477866,-0.080476317
49,-0.009117598,-0.002768236
50,-0.012844331,-0.065919269
51,-0.135772273,0.113254587
52,0.101971324,-0.014494862
53,0.008485136,-0.111616194
55,0.08842026,-0.045396947
57,-0.0315146,-0.042893331
58,-0.008495406,-0.085571119
59,0.011995637,-0.134293113
60,-0.059818766,-0.005037422
62,0.20065217,0.163231377
63,-0.057917144,-0.015468169
64,-0.05669938,0.095101528
65,0.003862638,-0.073864141
66,-0.005206071,-0.046664227
67,0.04320454,0.073639351
68,0.080920705,0.0553213
69,-0.054465005,-0.013961036
72,-0.052016661,0.006396976
73,-0.03310004,-0.082530602
74,-0.013416663,-0.054033952
75,-0.026977878,-0.058973531
76,-0.015553702,0.000337457
77,-0.14592982,0.13627927
78,-0.118848888,0.098226774
80,0.021962467,-0.082543996
81,-0.005601027,-0.03316505
82,-0.039072288,-0.073755784
83,-0.078122535,-0.058275648
84,0.057342031,-0.055384903
86,-0.060433933,0.037476093
87,-0.008321891,-0.025142426
88,0.034356573,-0.053698172
89,0.026498817,-0.032388623
90,0.044955296,-0.029142131
91,-0.002710504,-0.031580443
92,0.080031239,-0.007860094
93,-0.006304312,-0.064114095
94,-0.065153737,-0.095490761
96,0.173757489,0.129762906
97,0.002493226,-0.068303317
98,-0.018936149,-0.004348513
99,-0.087869445,-0.028661034
100,-0.046465489,-0.010522784
102,0.122644716,-0.053416182
103,0.020604537,-0.025404826
106,-0.045000655,0.047048516
108,-0.060093005,-0.007368554
110,-0.023502331,-0.006068541
111,-0.073376563,0.046424877
112,0.14084439,0.09079596
113,-0.006788711,-0.016438671
114,0.0318763,-0.065891981
115,-0.025435764,-0.016892274
116,-0.01795308,-0.036258025
117,-0.073067405,0.064919433
118,-0.060291807,0.024881753
119,-0.022698439,-0.137077282
120,-0.031962588,-0.059314491
121,0.018990742,-0.027394905
122,-0.045929051,-0.05058118
123,0.033384847,-0.022624696
124,-0.035350888,-0.099997053
125,-0.038169953,-0.060685141
126,-0.042862909,-0.002388186
127,0.042675491,-0.056224318
128,-0.047453526,0.010069478
129,-0.174168052,0.233023605
130,0.262033543,0.156026446
131,-0.01459721,-0.046850116
132,0.220747305,0.174677296
133,0.025740433,-0.070851588
134,-0.060027446,0.033567867
135,-0.024533315,-0.049709301
136,0.094069885,0.014854224
137,0.08995423,0.082966038
138,-0.044666545,-0.006862449
139,-0.135316828,0.189179467
141,-0.02906819,-0.089373322
142,-0.035308659,-0.013827024
143,0.00623968,-0.045175485
144,-0.061113913,-0.085458366
145,-0.010781487,-0.032747158
147,0.123253391,0.001527439
148,0.036336371,-0.055030198
149,0.008871623,-0.130698964
151,-0.212472069,0.296243801
152,0.002631899,-0.017941307
153,0.049667699,-0.042949169
154,0.021312019,0.021417972
156,-0.018791524,-0.057110424
157,-0.020537002,-0.133575082
158,-0.021518834,-0.135904996
159,0.00290106,-0.096756635
160,-0.035100715,-0.000114198
161,-0.041981631,-0.118509226
162,0.070905327,-0.035089023
163,-0.057229841,0.082794676
164,-0.026649361,0.008637461
165,0.051604222,0.035153668
166,0.022094341,0.060758846
167,-0.036863077,-0.040091703
168,-0.132383202,0.134785368
170,0.095409358,0.079012069
172,-0.103543237,0.077105766
173,-0.018741884,-0.012209451
174,-0.00353183,-0.024463172
175,-0.02855784,-0.03872433
176,0.228849001,0.088398989
177,-0.195607943,0.246580271
178,-0.009921951,-0.139755263
179,0.042194233,0.004637571
181,-0.049666075,-0.044577989
182,0.057246894,0.001616285
183,-0.03530551,-0.077199772
184,-0.057998934,-0.01954803
185,-0.087296,0.024065833
186,0.042487578,-0.030264752
187,-0.063471252,0.057881482
188,-0.020366091,0.004448915
189,-0.043163321,0.071216232
190,0.092003276,-0.019522544
191,0.07206539,-0.052029406
192,-0.006272504,-0.119912094
193,-0.036061033,-0.012852267
194,0.11992068,0.03889425
195,0.353673007,0.244650017
196,-0.075001519,-0.027781519
197,-0.043418646,-0.025923932
198,0.095258806,-0.004844824
199,-0.043748939,-0.058612177
200,-0.053369462,0.053973757
201,-0.0490304,-0.033359919
202,-0.114229768,0.107281647
203,0.160001079,0.058531801
205,-0.16594162,0.173141073
206,-0.016499856,-0.10614974
207,0.011945789,-0.061644042
208,0.009082753,-0.118591282
210,0.003871298,0.009304807
211,-0.093250437,0.117094171
212,-0.136226714,0.143025916
213,-0.022590859,-0.105886347
215,-0.001936749,-0.055602114
216,0.02751098,-0.055972403
217,0.120070707,0.057559063
218,0.137761441,-0.010045718
219,-0.0431536,0.010297924
220,-0.067312926,0.029892994
221,-0.085404593,-0.088122078
222,0.084061283,-0.082195517
223,-0.034303402,0.00797822
224,-0.035230085,-0.035988602
225,0.057485197,0.008593071
226,-0.112538446,0.042858511
227,0.251730732,0.177961552
228,-0.083547952,0.033391144
229,-0.04003696,0.054411786
231,-0.00754054,0.069555566
233,0.009809367,-0.054447041
235,-0.074103744,0.064243556
236,0.000801875,-0.088653529
237,0.009953228,-0.07896134
241,0.081046464,-0.032072112
242,0.03587566,-0.116838368
243,-0.119415072,0.163913157
244,0.240895995,0.180919757
245,0.166024707,0.02682
247,0.029682621,0.000973279
248,-0.105886096,0.031816266
250,-0.086644583,-0.055078167
251,-0.093769251,0.0045506
252,0.021533801,-0.094929131
253,-0.115083106,0.049730435
254,-0.046771558,-0.034004557
255,-0.086841125,0.020289265
256,-0.059393678,0.013941719
257,0.069753639,-0.035835185
258,-0.026663876,-0.03343589
259,-0.044800456,0.012372131
260,-0.096656294,-0.021196871
261,-0.01398957,-0.031428951
262,-0.013967958,0.030238155
263,0.00449354,-0.005938129
264,-0.04296482,0.042554544
265,-0.110169222,0.144844633
266,-0.07172832,0.049815313
267,-0.136939007,0.193513852
268,-0.066257829,-0.015375119
269,0.147184817,0.012193031
270,-0.03307505,-0.004813082
273,-0.008275691,-0.0530653
275,-0.026950052,-0.104185123
276,-0.003485253,-0.105638254
277,-0.049440495,0.08775646
278,0.033399752,-0.048123064
279,-0.101321547,0.059927338
280,-0.034188188,-0.059550953
282,0.154626866,0.046753579
283,0.012738223,-0.028316915
284,-0.160447045,0.188567558
286,0.134048412,-0.02481121
288,0.14338286,-0.024811321
289,-0.013436667,-0.00290722
290,0.120353753,0.026113423
291,0.048115821,-0.078757445
292,0.06782327,-0.095862498
293,-0.052688262,-0.022143353
294,-0.039307214,0.01509145
295,-0.056095909,-0.100201912
296,-0.124168352,0.146695388
297,0.303828405,0.20420688
298,-0.05895675,-0.024994105
299,-0.0094941,-0.04304058
301,-0.027332123,0.008537342
303,-0.042168778,-0.024678177
304,0.212465877,0.061172133
306,-0.075324859,-0.062692667
307,-0.141180238,0.167310422
308,-0.047404635,-0.099901664
309,-0.067938365,0.034827297
310,0.026755487,-0.059429419
311,-0.043051366,0.013695336
312,-0.007526719,-0.028793369
313,-0.058252172,0.000466068
314,-0.060055248,0.032723863
316,0.028321481,-0.035799596
318,0.062724638,-0.009756775
319,0.025057976,0.000619939
320,-0.069609411,-0.050767614
321,-0.054670791,0.054310981
322,0.040358407,-0.016812386
323,-0.079596808,0.055451566
324,0.017780496,-0.023577483
325,0.019956386,-0.031522422
326,0.184543539,0.088757104
327,-0.086286983,0.089778554
