0,143,0,335,553,0,990,24,74,3272,0
137,180,495,446,1420,247,1590,173,1255,2082,3980
280,215,89,1549,3871,930,80,152,238,0,4105
29,0,0,1014,646,744,418,34,0,3004,4926
0,0,0,668,367,103,161,31,0,1874,4953
386,0,302,973,986,1005,1252,21,454,1764,5252
0,496,0,962,610,379,356,136,104,3570,5338
268,0,0,595,1188,181,500,413,0,2380,5454
184,59,1242,678,953,375,1140,470,220,2256,5454
0,71,74,664,312,4,1115,28,219,4046,5468
288,12,1740,333,1560,978,628,331,0,4760,5628
178,0,149,622,484,802,806,174,2067,0,6096
0,271,0,686,733,39,208,182,0,297,6122
219,76,74,307,1509,200,1793,315,1369,357,6481
0,0,80,400,1332,175,1082,0,342,3573,6552
0,566,17,1314,677,845,943,39,256,1190,6552
0,0,0,615,1350,30,1941,8,0,4165,6570
385,0,3960,1133,1100,242,4146,277,0,0,6610
684,0,18,297,542,0,2752,63,424,744,6717
0,0,124,170,1072,508,2308,37,1192,1041,6814
416,0,1708,413,991,0,44,120,0,2380,6834
1279,19,3123,409,520,0,813,77,766,2689,6842
0,48,0,630,1209,0,6309,254,27,2261,6976
0,0,107,1121,784,598,435,265,0,2975,6976
0,0,149,223,1356,157,0,112,776,4377,6976
1370,85,288,500,1517,189,521,192,0,0,6976
779,0,32,1309,1702,402,139,26,3334,2104,6976
74,275,118,758,1432,539,1950,62,283,3068,6976
0,0,0,595,1576,0,0,208,0,2677,7047
0,6,2240,546,1374,1486,1702,395,0,1834,7065
0,450,574,498,1090,18,104,57,312,892,7065
355,0,86,687,1328,1066,399,142,654,5665,7076
0,0,18,1840,1444,0,307,346,59,0,7116
353,383,186,1343,1632,1968,2058,167,2166,2579,7116
15,393,0,801,1140,181,1468,10,327,2646,7116
1022,170,2207,1100,1964,422,556,132,312,1018,7131
857,112,1012,949,2982,2184,9434,316,660,2499,7149
119,0,162,1247,838,44,15,52,317,2856,7161
930,97,73,1986,1044,326,986,92,70,0,7184
0,246,2,1247,627,835,0,295,0,3919,7199
24,195,0,804,1966,27,1120,129,613,2739,7205
119,53,0,426,1336,2113,796,198,0,0,7245
208,443,372,1560,1947,0,8175,286,104,3141,7245
0,0,0,248,827,64,345,72,24,3817,7245
0,270,38,782,455,86,1044,71,178,3021,7255
416,494,330,492,2367,35,863,153,0,422,7260
0,70,62,881,816,545,1667,301,165,3104,7296
0,419,24,669,1006,224,234,6,187,3793,7296
286,227,0,336,1176,35,419,68,0,3295,7361
26,218,1399,974,357,37,291,133,0,3962,7381
461,0,59,649,2583,0,570,272,0,3272,7437
1274,0,453,821,1125,3665,4526,103,0,1311,7459
193,0,0,2006,521,70,1337,61,1589,0,7611
35,0,67,801,933,0,700,0,0,2176,7630
1487,826,0,831,2084,261,1583,26,0,1086,7734
0,80,0,441,2062,50,119,211,576,0,7757
119,68,5206,515,1761,208,3097,121,779,0,7757
342,149,73,712,984,0,6720,221,1506,4462,7757
0,125,0,663,1176,19,1128,266,465,2716,7802
0,195,186,637,479,402,458,94,596,0,7920
95,428,205,580,640,2047,1285,9,198,3570,7955
0,195,0,1237,546,101,1371,34,64,1650,7958
0,0,0,488,578,0,5761,141,0,0,8032
0,25,0,745,1113,0,1289,177,178,0,8056
119,0,12,751,717,21,3712,456,875,59,8056
201,130,89,326,979,25431,1696,196,107,0,8056
0,593,6321,868,1054,0,8404,44,1844,449,8056
54,231,357,208,2128,83,671,0,867,0,8056
897,1570,467,1081,1183,6274,3134,85,840,3515,8314
684,67,2642,556,2415,773,1847,0,0,0,8329
157,159,19,446,1374,577,2649,67,208,2311,8410
727,0,2891,859,1436,470,1425,200,67,2432,8483
89,0,180,764,2108,413,1337,68,119,2136,8539
0,1710,2955,2395,1292,606,1562,228,2244,18160,8792
89,173,178,147,2237,215,1970,295,553,2677,8846
3415,225,19,531,1261,989,526,228,476,0,8867
0,0,0,1203,1024,223,499,87,570,2231,9043
0,1192,0,565,2293,0,0,40,0,0,9126
797,0,0,516,1289,2020,1256,55,0,3645,9212
184,598,158,560,738,607,738,104,446,119,9222
0,381,0,837,2293,952,3964,182,416,4560,9244
0,328,106,1085,2771,235,2228,515,937,0,9289
0,196,149,744,1405,28,1642,413,0,3718,9295
0,0,260,483,734,301,1812,84,0,0,9333
0,75,0,815,637,0,883,82,760,4685,9389
0,1605,9,1633,1154,259,1568,40,39,3132,9460
0,526,342,662,2609,37,415,218,0,3213,9575
0,560,178,1389,1192,278,724,268,476,800,9588
446,147,773,143,1421,389,3413,93,0,708,9623
38,0,4787,1136,2212,13,359,104,923,565,9656
208,74,335,967,1221,331,1751,68,268,2975,9756
0,200,649,2020,1394,1461,1139,206,208,3123,9824
0,0,3037,477,835,354,1433,51,348,0,9853
0,413,0,494,869,1098,3204,178,0,1815,9867
2992,1246,199,741,2127,1156,1548,93,0,273,9890
0,314,184,1110,1662,915,538,131,0,2677,9983
759,0,636,898,1772,2093,437,140,724,187,10064
12,59,11642,12434,522,711,971,74,1041,429,10114
82,0,259,490,400,231,546,114,141,0,10170
0,0,1196,450,423,998,181,48,0,0,10174
0,1090,21,758,1412,38,2500,39,895,2564,10174
0,453,52,1322,1886,425,2565,47,1056,1465,10174
369,299,16,918,3096,570,585,535,268,3492,10406
855,0,149,729,707,450,2398,113,297,3272,10412
0,45,0,1059,2014,3178,552,254,0,4038,10580
0,107,1002,898,1483,103,2352,103,104,3867,10580
921,323,1251,690,932,219,1077,222,1641,3480,10580
0,608,478,477,984,0,933,345,1031,0,10580
148,0,223,1232,1722,685,782,155,178,149,10580
594,130,46,834,1420,105,1179,226,857,3971,10580
89,127,2641,4042,1601,199,1705,145,591,74,10580
0,0,52058,1214,820,369,3981,84,2154,5354,10797
0,103,1785,1143,1180,0,8270,0,378,0,10797
297,0,0,535,804,66,1638,231,1398,2438,10809
0,15,10,1129,1233,859,191,98,199,2975,10889
1458,0,0,371,1749,1316,1527,254,387,878,10987
86,118,11600,1131,2472,583,1553,223,1383,166,10987
0,595,0,829,1682,439,1104,189,89,1859,10987
579,390,68,472,521,170,1568,89,0,2564,10987
148,88,281,324,1804,662,3049,238,715,4577,10987
0,84,297,748,1182,280,2667,64,2136,0,10987
894,66,687,925,1528,1001,756,158,64,4223,11374
0,55,1339,813,1630,944,2335,0,1188,0,11686
0,0,40679,785,2148,377,407,513,2286,223,11747
0,24,0,1434,850,296,1510,34,446,110,11887
892,933,0,810,2776,539,3298,158,320,104,11926
1100,0,308,750,3106,1027,1588,245,734,3621,12136
1487,303,0,994,2988,1529,1053,164,45,1904,12553
238,0,589,903,1979,42,3903,137,653,5249,13162
0,0,260,650,1241,361,3428,134,1651,3770,13950
319,170,321,607,1729,413,663,28,297,0,0
297,0,15,446,1736,728,389,124,0,1487,0
990,0,5838,298,723,2800,2437,12,1053,0,6886
356,0,329,178,444,87,74,62,173,1785,0
0,44,0,582,521,564,472,166,0,3272,0
0,0,0,625,763,134,2369,52,25,3570,0
0,107,118,495,1714,40,1580,260,1861,2975,0
235,0,790,772,1333,133,1154,61,782,4658,0
59,244,5446,884,972,2344,5477,789,790,5945,0
0,0,535,267,1447,79,1741,228,547,1785,0
35,0,1161,262,1082,41,1230,249,345,3035,0
1657,122,304,532,1123,886,3397,129,4736,5087,0
2717,49,2760,675,1274,408,2100,197,15,3424,0
0,0,18,387,517,634,299,15,631,3927,0
625,109,21,596,530,32,835,22,775,2543,0
3228,45,2893,729,4576,3499,1924,614,1913,4048,0
0,0,0,1339,792,970,0,141,0,2826,0
1352,89,184,1663,1687,1059,2280,59,1230,1804,0
134,0,1551,646,1280,247,142,118,0,2588,0
327,88,448,260,1065,77,612,69,119,3272,0
0,0,178,1011,311,0,1609,152,1371,4514,0
0,0,0,972,1431,1244,560,280,0,2380,0
0,175,276,1050,2062,2308,4049,335,724,4586,0
32,49,49,1200,399,513,1396,53,83,2797,0
0,684,16,567,1032,49,168,76,0,3102,0
729,0,189,708,1278,2796,196,0,0,1596,0
0,766,0,444,1077,40,510,52,116,1380,0
193,68,1266,1150,2899,1626,3087,215,1458,0,0
128,665,0,1284,3737,574,253,58,42,2826,0
595,18,0,999,635,0,461,27,425,4239,0
119,0,527,571,1966,519,1179,30,342,2237,0
935,0,221,446,1257,537,246,276,0,2529,0
1338,292,265,891,2707,1742,6020,869,4378,2082,0
0,193,0,529,3389,0,432,329,759,0,0
446,151,0,952,1934,127,229,129,0,2231,0
594,353,65,787,2310,69,259,169,2188,2380,0
0,0,0,183,863,1135,1247,44,0,0,1112
279,12,63,446,1027,82,918,63,297,0,2783
53,137,0,433,1724,257,183,169,107,2145,6344
137,831,0,968,604,0,1429,29,896,2975,6473
0,0,0,458,976,513,149,144,0,3858,6762
346,113,208,1001,2408,5576,208,367,722,232,8793
4180,0,1446,766,1130,3114,1456,57,677,4075,10944
638,64,0,1077,954,1226,234,143,55,3527,11919
